id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
32,0.0,tcp,,RST,1,0,54,0,0.0,128,,0.0,0.0,0,0,0.0,0,0.0,0,0,2610624031,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
33,125.62313961982727,tcp,,FIN,12,0,5655,0,0.09552380267135135,128,,360.1247360709946,0.0,0,0,89173.54226112366,0,26642.699891325992,0,255,4035020868,,,0,0,0,471.25,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
34,0.0,tcp,,RST,1,0,54,0,0.0,128,,0.0,0.0,0,0,0.0,0,0.0,0,0,4035024505,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
35,125.93360137939453,tcp,,FIN,16,0,9390,0,0.12705107949543598,128,,596.5048182310719,0.0,0,0,87800.85778236389,0,22963.81247038373,0,251,3560479310,,,0,0,0,586.875,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
36,0.0,tcp,,RST,1,0,54,0,0.0,128,,0.0,0.0,0,0,0.0,0,0.0,0,0,3560486466,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
37,121.03506755828857,tcp,,FIN,48,0,22980,0,0.39657928043774554,128,,1518.8986440765655,0.0,0,0,19075.451135635376,0,9727.338110799139,0,253,3319103857,,,0,0,0,478.75,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
38,0.0,tcp,,RST,1,0,54,0,0.0,128,,0.0,0.0,0,0,0.0,0,0.0,0,0,3319124235,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
39,125.25732731819153,tcp,,FIN,27,0,14284,0,0.21555625190222866,128,,912.2979265693139,0.0,0,0,3559.018850326538,0,16500.355505847205,0,255,3447111507,,,0,0,0,529.0370370370371,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
40,0.0,tcp,,RST,1,0,54,0,0.0,128,,0.0,0.0,0,0,0.0,0,0.0,0,0,3447124322,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
41,79.9990644454956,tcp,,FIN,13,0,4924,0,0.16250190036731077,128,,492.40575840531585,0.0,0,0,19835.28208732605,0,16996.754562006678,0,250,475978543,,,0,0,0,378.7692307692308,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
42,0.0,tcp,,RST,1,0,54,0,0.0,128,,0.0,0.0,0,0,0.0,0,0.0,0,0,475982755,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
43,118.34180855751038,tcp,,FIN,22,0,9742,0,0.1859021783439172,128,,658.5669168823423,0.0,0,0,20713.955402374268,0,14259.10572984618,0,253,83336339,,,0,0,0,442.8181818181818,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
44,0.0,tcp,,RST,1,0,54,0,0.0,128,,0.0,0.0,0,0,0.0,0,0.0,0,0,83344883,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
45,86.80892086029053,tcp,,FIN,13,0,3380,0,0.14975419428289036,128,,311.48872410841193,0.0,0,0,86617.99669265747,0,23935.162424433784,0,255,843360738,,,0,0,0,260.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
46,86.86734437942505,tcp,,FIN,9,0,3459,0,0.10360625231835328,128,,318.55469046149693,0.0,0,0,86724.24864768982,0,28674.596802760763,0,255,628827433,,,0,0,0,384.3333333333333,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
47,123.28610014915466,tcp,,FIN,18,0,4418,0,0.14600186053596587,128,,286.6827643768432,0.0,0,0,86584.4156742096,0,21490.69717068754,0,253,3470261874,,,0,0,0,245.44444444444446,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
48,86.80935382843018,tcp,,FIN,8,0,3341,0,0.0921559676139415,128,,307.89308779817856,0.0,0,0,86646.41404151917,0,30310.43445227427,0,255,1543575884,,,0,0,0,417.625,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
49,0.001004934310913086,tcp,,RST,1,0,54,0,995.0899169632265,48,,429878.8441281139,0.0,0,0,0.0,0,0.0,0,0,1495446144,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
50,120.49943733215332,tcp,,FIN,13,0,3456,0,0.1078843211870431,128,,229.44505478302827,0.0,0,0,74951.85875892639,0,23164.162892602446,0,253,2354021842,,,0,0,0,265.84615384615387,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
51,120.4814224243164,tcp,,FIN,11,0,1278,0,0.09130038290268312,52,,84.85955589063929,0.0,0,0,2.1071434020996094,0,24878.09746856329,0,19,1764303291,,,0,0,0,116.18181818181819,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
52,127.43544936180115,tcp,,RST,12,0,7342,0,0.09416532103191223,101,,460.9078580108664,0.0,0,0,81044.02899742126,0,25484.095283223414,0,0,914426492,,,0,0,0,611.8333333333334,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
53,120.56593942642212,tcp,,FIN,17,0,3506,0,0.14100167991785612,128,,232.63618343153107,0.0,0,0,74501.20806694031,0,20407.59415239516,0,254,3675267372,,,0,0,0,206.23529411764707,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
54,120.52886891365051,tcp,,FIN,15,0,5421,0,0.12445151219950736,52,,359.81421207121565,0.0,0,0,1.234292984008789,0,21607.744692389973,0,19,2172770718,,,0,0,0,361.4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
55,0.30150938034057617,tcp,,FIN,2,0,108,0,6.633292794210444,128,,2865.5824870989118,0.0,0,0,301.5093803405762,0,0,0,254,3675269874,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
56,3.0646305084228516,tcp,,RST,2,0,108,0,0.6526072211652224,50,,281.9263195433761,0.0,0,0,3064.6305084228516,0,0,0,0,7013346,,,0,0,0,54.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Normal
